,Q
9968,2
9797,3
6534,2
4352,3
6412,3
1351,3
1308,1
5181,2
4185,3
5443,0
1177,3
7528,3
9747,3
8384,2
6663,3
9475,3
5147,3
3471,3
5812,3
5655,3
1538,1
5110,3
2253,3
6527,3
2149,1
7484,3
2882,1
58,1
4395,3
4948,2
1316,3
545,3
7820,1
7914,2
6852,3
4604,2
8327,3
8405,3
770,1
9313,1
4532,2
2911,2
9516,2
2181,3
6195,2
9479,3
5686,3
5970,3
7930,3
292,2
7706,3
7907,3
7909,2
6437,1
7088,2
9259,3
232,3
7541,2
5009,3
5798,2
1448,0
4540,2
7084,3
7461,3
4815,3
2454,2
9694,3
3808,2
4836,3
9887,3
987,2
1420,3
1001,1
1372,3
9415,2
3337,3
9949,3
4683,1
8987,2
1042,3
4308,3
3439,3
5035,3
3069,2
3160,3
5409,3
7286,2
3325,2
5670,3
7390,3
3101,3
8881,3
6893,3
792,3
8250,1
7779,3
9362,3
6615,3
6364,2
8731,1
8402,1
955,3
3728,3
6302,1
992,3
3211,3
304,1
2003,2
4096,3
6017,0
6074,3
2144,3
7108,1
6792,3
9159,3
9252,2
362,3
2543,2
8701,2
354,1
5774,3
8671,1
1061,1
5752,3
3350,3
7013,3
5434,1
260,1
1547,2
9057,3
3345,2
3194,3
3555,3
4144,3
1856,1
9368,1
8449,3
6345,2
4993,2
6076,2
1361,2
3476,2
3098,1
8560,1
5701,3
7938,3
7340,3
6343,3
6998,3
7902,1
9308,2
7040,3
2365,3
2203,0
1326,3
5257,2
9089,1
3732,0
4068,3
7355,3
7184,3
4204,2
3233,1
8367,3
6987,3
9515,3
2760,1
7981,3
8703,0
9517,3
936,3
6262,2
8151,3
6431,2
5584,2
5904,1
2110,2
7554,2
7932,2
3466,3
5442,3
798,3
8055,3
5595,3
2507,1
5618,1
2023,3
7933,3
2523,3
7334,0
3064,2
5899,3
2289,3
671,2
1720,3
290,1
2086,2
3956,3
8932,1
616,0
4039,1
3192,2
2479,3
6371,2
7805,3
1708,1
2897,2
1796,1
7419,3
6059,2
3657,3
5677,0
9402,3
7617,2
6362,3
4903,3
9048,3
1692,1
5077,3
9904,3
2179,3
6560,2
9834,3
7103,3
8464,3
9171,2
5645,3
7280,3
5928,1
6659,3
3007,2
6033,0
7509,2
7357,3
3966,3
1663,2
9536,0
6279,3
4591,2
9660,0
1956,2
4270,3
9149,1
8973,3
6517,3
8426,3
6057,3
3859,2
4465,3
2868,3
9886,3
4951,1
1532,1
7555,3
4728,1
3768,3
4284,3
1513,3
5227,3
3,3
33,2
7746,1
807,2
7331,3
2321,3
7577,3
3444,3
4092,3
3070,2
868,1
3249,3
1884,3
5345,3
9931,3
3122,2
1903,3
1977,3
7316,3
1953,2
4095,2
160,2
9190,2
6200,3
9611,3
6062,1
4740,2
2432,3
4521,0
1246,1
9326,2
3771,1
6855,2
676,3
6877,3
7393,2
2999,1
6667,2
4496,3
7252,0
9767,3
6191,3
8421,2
7284,2
8445,1
4614,3
3615,3
1221,1
4222,3
9216,3
5816,1
4902,2
8222,3
1456,2
400,2
5621,3
1596,3
9545,1
1183,1
9637,3
8413,3
3413,1
700,3
3536,3
857,0
9853,2
5011,2
6739,3
2800,1
6224,2
8939,3
9071,2
2457,3
3594,2
6247,3
3636,2
5203,3
6171,2
9600,0
4908,1
6929,2
6510,3
3775,3
6543,2
7921,2
4409,3
1482,3
2619,3
8647,3
3870,2
4874,2
4547,2
9370,1
2638,3
1136,3
7966,1
5324,3
9862,1
1908,3
8219,3
9141,1
192,2
2611,3
5797,3
3620,3
2273,2
7386,2
5453,3
2604,0
9397,3
8510,3
9109,3
6661,3
7353,3
3360,3
8240,2
5847,2
1969,1
1975,3
252,3
2751,2
8265,3
2651,3
153,3
8606,3
4958,3
8105,1
482,1
1468,1
9941,3
2266,2
5508,2
3850,1
4697,0
1053,3
7915,1
5714,3
8637,3
6682,1
3244,2
5333,1
413,3
2068,3
9151,3
5283,0
9916,1
6971,0
6622,1
5373,1
1987,1
7201,3
7983,3
5087,2
5558,2
767,1
5285,3
4541,1
4421,1
8121,3
8665,2
7901,3
1561,3
3517,1
9566,2
5051,2
5343,3
2706,3
5358,0
3704,2
4376,3
5692,1
8709,3
5398,3
603,3
9826,1
6048,2
2239,1
4433,3
2524,3
2986,0
7388,3
9391,2
1716,3
6568,3
1091,2
8685,3
2460,3
7875,2
688,1
9739,3
7109,0
814,2
3765,3
8058,3
3382,1
5236,1
9879,2
1746,3
2588,1
9004,3
7709,3
9738,3
5596,1
5483,3
6687,0
3716,2
4798,3
898,2
3551,2
4056,2
6541,2
1018,3
6141,2
5022,3
3785,1
820,3
8486,3
3329,3
4135,2
4201,2
1379,3
1841,3
9778,1
7308,1
894,3
2240,3
1085,3
3557,3
9857,3
4584,3
1222,3
8922,2
2065,1
2404,2
664,1
548,3
9654,1
5153,3
5363,3
6380,0
6381,3
2326,3
9263,3
220,0
9147,3
9633,2
4432,3
558,1
6919,1
8822,2
5513,3
8315,3
2605,1
3506,3
9893,3
2053,3
7732,1
632,3
223,0
9525,1
9112,3
8333,3
715,1
5309,0
4952,3
1480,3
6729,3
701,3
4566,3
440,2
263,1
2050,1
849,1
8799,1
6335,3
8414,3
7337,3
5481,3
9610,3
755,3
4346,1
5565,2
4525,3
5104,2
396,1
2477,3
7742,3
3354,3
8609,0
6032,2
2400,1
2207,3
1886,3
6063,3
1507,3
9582,2
461,2
8567,3
4061,2
3138,3
958,3
9079,3
5136,3
8743,3
9520,3
1723,1
3328,3
6072,3
5914,3
935,2
3619,2
8946,0
6666,2
6554,2
4609,1
763,2
7045,2
8816,3
2519,2
7187,2
103,3
6513,3
4936,3
6801,3
2264,0
5942,3
3357,0
9014,3
259,3
4577,2
9595,3
4450,3
334,2
6507,1
3947,1
6823,2
5822,2
6595,3
6617,2
1712,1
2501,3
7313,2
2341,3
8999,2
9491,3
8488,1
8879,3
6126,2
665,3
4354,2
76,3
2834,2
9304,2
659,3
4386,2
3483,1
3197,3
4962,2
6160,3
1771,3
5185,3
1495,3
5491,3
9020,2
5711,3
8646,2
4738,2
6579,2
374,2
2392,1
3572,0
6907,3
4524,2
9979,1
9640,2
670,3
4923,2
4333,3
8077,3
6795,3
1167,1
7162,3
7878,1
69,3
72,3
2075,2
6639,2
3501,3
3992,2
2011,3
9708,3
2106,3
1985,3
2891,3
6767,3
5356,2
9037,2
5919,2
3798,2
2497,1
7635,3
6178,2
3718,3
4534,2
6723,3
6713,3
4102,3
7592,1
4802,0
4680,2
5694,3
4176,2
4977,3
518,0
4942,3
2451,3
7424,2
4508,2
7002,2
2921,1
4241,3
4957,2
1843,3
8400,3
1905,1
5680,3
3823,1
541,2
3735,3
6333,1
3491,3
9580,3
6029,3
6158,3
3436,3
3336,3
4794,3
1845,2
8502,2
2161,3
8718,1
3754,3
3409,1
5566,2
2720,1
9110,3
2012,3
8579,3
9839,3
1,0
3238,2
7429,1
451,0
7622,3
6566,3
6539,3
9754,1
8690,3
1317,3
8008,1
6175,3
650,3
1299,3
4180,3
408,3
1916,1
4845,3
5796,2
2823,3
4306,2
1816,2
8001,3
3569,3
8234,3
8440,3
5729,3
2675,3
3872,1
636,3
6634,0
7260,3
6102,2
3245,0
9920,2
7668,2
4505,3
4510,2
9427,0
2660,3
5562,2
7012,3
832,2
5896,2
2191,1
4760,1
7407,3
2819,3
7396,3
5594,1
5339,3
168,1
1502,1
6182,3
5112,3
2973,2
7410,1
230,3
289,3
6423,3
2079,2
3392,3
3795,2
1166,2
104,2
6501,1
402,3
9650,3
9046,3
1280,1
612,1
656,2
4497,3
4999,2
3086,1
2274,1
1531,3
7119,3
5996,2
3543,0
6071,1
1024,3
890,1
3876,0
303,1
4012,2
4411,3
1057,1
2150,1
9064,2
8409,3
8358,3
9314,1
5900,1
3250,1
6003,3
7370,3
37,2
2285,3
7136,3
7620,1
2090,2
7385,3
6748,1
7586,2
9019,3
828,3
9686,3
1619,3
2413,1
2409,3
6934,1
9512,3
4359,3
4010,1
128,2
2503,2
1702,3
7372,1
9664,3
9529,3
434,1
6073,3
2252,3
4000,3
2306,3
9623,3
3781,3
9045,1
266,3
1011,1
2352,3
588,1
7613,3
4050,0
7172,3
2416,3
1156,3
4454,3
2782,3
5668,3
3918,3
4596,1
6486,1
969,3
2292,2
5940,2
6742,2
1211,3
744,2
7440,2
4351,3
5871,3
2712,1
4430,2
4698,2
286,1
654,2
4143,3
3523,3
3708,3
1825,3
6012,3
7174,2
1681,1
7320,1
83,2
7944,0
8736,2
2825,3
2386,0
2148,3
9347,2
3144,1
3302,2
5570,3
5924,3
7570,1
91,3
7154,1
2654,3
1715,1
8594,3
9040,3
5766,0
3094,2
9303,1
3171,2
3378,2
8992,3
9579,3
2879,1
505,1
101,3
2889,1
5867,1
4575,2
1227,3
7947,2
6777,0
214,0
1392,3
5503,3
4602,3
7375,2
8232,2
3962,1
1263,3
3335,2
7722,3
9467,2
6040,3
124,2
9539,2
9050,0
8028,3
565,3
1129,3
8613,3
78,3
9175,1
4691,3
4774,1
8350,2
8692,2
8023,3
4982,3
7772,2
2517,3
8224,0
3609,1
4363,1
4389,3
7838,1
3923,3
1389,3
1519,2
7824,1
5815,2
4552,2
1235,3
6049,3
9350,1
3465,3
1994,2
4998,3
3588,3
8773,3
8769,1
4329,3
7374,0
8277,3
5636,3
3167,1
5744,3
314,3
6253,0
7832,3
22,3
8437,2
4507,2
8108,3
3240,3
4127,3
4793,3
2243,2
9274,3
2771,3
3573,2
5335,3
8770,3
10,2
5161,3
8387,1
5868,1
3893,3
4795,3
5268,1
1545,2
8854,3
4941,3
2308,2
3527,3
8867,2
5761,2
6446,2
8760,0
602,3
5984,3
9069,1
3468,2
8083,2
5772,3
8360,2
8245,3
8416,3
3176,2
2707,2
3919,3
4472,3
7650,3
3331,3
5552,2
5949,3
7723,3
5773,3
1385,3
436,1
988,2
8034,0
4406,3
6208,3
9594,3
47,2
6737,3
7736,3
4610,1
8239,3
5088,3
8506,3
6058,2
6916,2
1648,1
7534,3
224,3
3294,3
757,2
3037,3
2690,1
219,1
5864,3
1743,2
7874,3
1919,3
9682,0
7262,0
6891,3
4212,3
5418,3
8182,3
1444,3
6865,1
3072,3
9072,1
3623,3
2573,3
4763,3
7903,3
1452,2
1543,1
6791,3
8525,3
822,3
3169,1
210,1
6712,1
7051,2
4837,1
73,1
8762,3
8894,3
6844,3
5193,0
5760,1
4103,3
2540,1
568,2
6871,3
150,2
7171,2
1440,3
5635,2
3475,3
3576,0
5219,3
3990,3
7176,3
6577,1
9775,0
9723,1
9923,3
6457,2
504,3
7016,2
5684,3
516,3
977,3
2908,2
7254,3
5097,3
9908,0
973,1
2967,1
4887,1
3092,2
1503,3
3820,3
4686,3
8217,2
198,3
2293,3
6846,3
6799,1
9903,3
993,0
7247,1
6854,1
9329,2
5929,0
2200,3
5396,3
1266,3
9158,3
7447,3
8725,2
1334,3
3537,1
7643,3
5464,1
2995,2
8861,1
1065,1
2180,3
7192,3
8989,2
6245,2
4783,3
6815,1
6010,3
3334,2
6675,2
2384,2
8446,1
3237,2
826,1
7787,3
1510,1
3145,3
3050,2
2946,3
9054,3
9103,3
9946,1
6082,3
6975,2
8906,3
574,2
800,3
655,1
3865,1
2747,3
3085,0
8487,1
8033,2
6139,1
815,3
2229,3
8049,3
9179,1
4166,1
5473,3
5695,3
8577,2
6574,3
5716,3
2362,3
17,2
7114,1
9332,1
448,2
6035,3
7452,3
9447,3
6326,2
6093,1
8625,0
4759,1
3235,2
2511,3
7707,3
5502,3
7677,2
6996,3
7747,3
4811,1
9392,3
7146,1
2861,3
1281,3
7548,3
3635,3
9333,3
4223,2
1488,3
2435,2
2066,3
8153,1
9663,1
6686,2
2954,3
870,1
2377,3
5687,1
7137,3
1175,3
9212,3
6762,3
126,2
4779,3
2198,3
2884,2
719,1
9768,2
2330,3
3665,1
1000,3
1256,1
2890,2
8167,2
3477,1
6173,2
9891,1
3464,1
9095,3
8081,2
3984,3
8135,3
3352,1
3516,2
3816,1
9713,1
4544,3
4375,3
2676,3
9969,3
6719,0
7686,3
9703,2
9321,3
2669,3
7978,3
9986,3
4529,3
7795,3
6624,1
8774,3
578,3
9756,2
9567,3
990,3
1765,2
5068,3
8749,1
9988,3
161,2
5201,3
2718,3
1714,0
6199,3
472,3
4563,3
2670,2
7377,2
9127,3
4556,1
3524,3
6571,3
6649,3
6118,2
1269,1
7164,3
657,3
897,2
1572,1
7624,3
251,3
6254,3
7441,1
2421,3
9324,1
1309,3
2504,3
6459,2
3948,3
909,3
8571,2
9589,1
8607,3
6827,3
7190,3
4947,3
9130,3
5149,3
4489,0
5510,3
6589,3
3630,3
8803,3
2174,3
7475,3
6688,2
3833,2
7819,2
4040,1
4440,1
4287,3
9033,3
3714,1
1063,1
1548,3
2437,3
4808,3
7021,3
2209,1
9801,3
1518,2
8845,3
3931,3
6325,2
7619,2
2955,0
4453,2
8535,3
7893,2
1067,2
5432,1
5648,2
9107,2
1139,1
8465,2
8274,3
6112,3
1010,1
1685,2
3826,3
975,3
1944,1
9982,2
240,3
8600,3
8289,3
2752,3
3624,2
6925,3
3805,2
4707,1
3183,1
9222,1
5725,2
3510,1
2641,1
4969,3
948,3
5015,2
2474,3
3927,3
6677,3
8954,1
4471,3
8091,3
2909,0
5218,3
1756,3
7694,2
295,1
7472,3
9234,2
7129,0
2754,3
8980,3
5187,3
100,3
137,3
1535,2
1679,3
5520,3
503,3
2411,3
1073,3
9927,1
6309,3
9421,2
5728,2
2388,1
6387,2
5947,3
261,3
5726,3
4259,2
8207,3
4437,3
6626,3
1885,1
7094,3
3997,3
6000,1
344,2
8268,3
6696,2
3513,2
4581,2
5239,3
1141,1
1434,3
8071,3
5638,2
891,0
7462,3
1804,3
944,2
9619,3
730,3
4714,3
5764,3
5106,0
4191,3
8434,2
1267,0
1749,2
4597,2
4198,3
7823,1
8909,3
1205,1
5251,3
2049,2
3314,2
3978,3
3321,3
5306,3
8162,3
5724,2
5108,3
6044,3
1325,2
9219,2
738,2
272,1
9671,3
7750,3
9501,3
347,3
1947,2
5350,1
3611,3
5923,2
2300,3
1986,3
8129,3
5479,3
720,3
2900,2
7941,3
4716,2
4115,3
6242,3
6143,2
7802,3
186,3
3369,2
6314,3
885,2
5093,0
1941,3
8241,3
8842,3
6644,1
901,3
4498,2
9614,3
4160,2
4029,3
7631,1
913,3
7540,3
4130,3
887,1
7531,3
7486,3
9018,3
7710,0
9769,2
9585,3
7325,3
3913,3
3835,2
9813,3
3200,3
7550,0
1492,3
419,2
1360,2
7373,2
9465,3
8963,0
3372,2
8325,3
1508,3
7376,2
4228,3
5887,3
6885,3
3819,1
5186,2
3618,0
3750,0
1070,1
2359,0
2453,3
8320,1
3559,2
6728,3
964,0
7369,3
2742,1
1481,2
2186,3
6135,2
2708,1
9432,2
2512,1
9951,2
7591,3
9209,3
517,3
7503,3
4523,3
4593,2
1173,2
4015,3
7798,3
4858,3
8604,2
6022,2
959,3
2481,2
3190,3
4630,3
6590,2
7674,0
197,2
8620,1
2363,3
5833,1
4341,3
9841,2
7516,2
838,3
3530,1
3592,2
4113,3
1868,2
4514,3
5804,3
9312,3
4826,3
3937,1
3047,3
5723,1
95,2
9750,2
5058,2
6268,3
8109,1
8688,3
4435,3
6372,3
7163,3
1665,2
9285,3
797,3
5514,2
7507,2
3852,3
3146,2
1615,3
7259,3
3930,1
5667,0
3113,2
3295,2
8591,1
3076,3
9049,3
2639,3
336,3
9821,2
6438,3
6550,1
3035,3
39,1
5085,1
5485,3
134,3
6212,3
1684,3
8377,2
3165,3
55,1
6689,1
6905,3
9270,3
1808,2
8572,0
4617,3
9200,1
6596,0
285,1
7790,2
8195,2
1562,0
1493,3
2648,3
1016,2
5609,1
234,3
731,1
4864,1
5484,3
9676,3
4158,2
7700,0
9440,1
2830,1
7057,3
8652,3
9322,0
9337,2
8221,2
4671,1
8610,3
7149,3
5411,3
7102,1
4492,2
1626,3
9256,2
7505,3
9716,3
7224,3
4665,2
4564,3
6276,3
1128,0
8981,1
2348,3
1200,3
6734,3
7058,3
1995,1
4533,1
599,2
9905,3
2199,3
7616,3
4869,3
2510,2
7100,3
6813,3
9066,1
4317,3
7657,2
9959,3
7752,2
3296,3
7889,2
8660,3
2777,2
2176,3
4364,3
1981,0
9632,2
865,0
1198,2
5091,2
9808,2
9651,2
1076,2
7785,3
395,1
7483,3
6220,2
3655,3
248,3
5165,2
7604,1
5933,1
5103,1
8686,2
8890,2
2290,1
4876,3
4854,2
6330,3
2527,2
741,3
8779,2
6863,1
7497,3
9117,3
120,3
9770,3
5509,0
8793,3
5532,0
2076,2
537,1
7086,1
2859,1
2975,1
9428,3
7911,3
1635,1
8820,1
3333,2
4797,3
6545,3
4357,3
9144,3
6251,2
1240,3
1465,3
2040,3
4253,0
3274,3
4473,2
68,1
3563,1
473,2
2074,3
3646,3
1100,1
1340,3
1387,2
7877,1
415,1
3600,3
7105,1
2132,3
5360,1
1080,3
6572,2
1253,2
1824,1
1419,1
7413,3
923,2
9266,1
9656,2
8263,1
7363,3
2091,3
8626,1
7050,2
986,0
4044,2
5898,3
3634,2
238,1
9374,3
7754,3
3961,1
5557,3
6873,3
6826,3
6685,3
3479,2
3702,1
4769,3
5351,3
4883,1
7257,3
3680,3
7368,2
2767,3
9975,3
26,3
8264,2
6674,3
9557,3
340,1
5993,3
5501,2
4877,2
5232,2
5876,3
2874,0
7235,2
8419,3
3901,1
3293,3
4233,3
2694,2
2393,1
7127,3
2127,0
8831,1
1428,3
149,3
3605,2
6338,3
4121,3
8915,3
3339,0
4897,3
3801,2
8892,2
6693,3
726,2
8678,3
4842,3
7884,2
972,2
7091,3
2838,3
8142,3
4560,2
2465,2
6593,2
1662,3
8396,1
9211,1
5877,3
189,3
1620,3
5581,2
4414,3
7728,2
1970,2
3323,2
7776,3
8321,3
5841,2
1631,2
9163,2
5395,2
2705,3
1553,3
2826,1
4181,3
188,1
4367,0
1735,0
5329,3
3412,1
3994,2
3898,1
9473,3
365,2
7479,3
29,3
3437,3
8941,0
8574,2
2138,3
8543,0
7042,3
9383,1
2544,0
3480,2
4866,3
1602,2
5000,2
8363,1
7931,1
4653,2
7463,3
4005,2
193,3
3029,2
7495,2
8933,0
7478,3
9155,3
2905,2
7669,3
4955,2
5727,2
2924,0
2269,3
4174,3
7927,3
5550,0
3832,1
8710,3
9176,3
5542,3
4090,0
7344,1
6426,3
848,1
1279,3
5213,3
3470,3
4909,2
2267,0
1638,1
6004,2
5523,2
1920,2
9015,3
5132,1
9180,3
4911,2
1153,2
2353,3
2097,3
9439,2
4787,0
6293,3
469,2
978,1
3541,3
9670,1
3292,1
2851,2
8259,3
6448,3
9335,2
6464,1
8900,1
7456,2
2366,1
9528,3
4954,1
3965,3
439,2
6733,2
3395,3
9080,3
377,1
4892,2
4933,1
3223,3
9166,2
417,3
9442,1
8975,0
281,2
217,3
115,3
2688,2
9038,1
3015,3
4401,1
7438,3
4151,3
1217,3
1565,3
5738,2
3766,2
5884,1
708,2
2429,1
1642,2
5408,2
2926,2
3813,2
5364,2
19,0
7243,2
3381,2
6001,3
524,3
1523,1
6397,1
3116,3
5693,3
2996,1
6458,3
794,3
2067,3
714,2
7395,1
4824,3
9760,3
4410,3
7971,3
6812,2
3743,3
8271,2
3229,2
6927,3
2539,3
6722,0
1027,2
9364,2
3024,0
7241,2
1184,2
6116,3
7090,3
3864,3
3531,1
2043,2
6061,1
6655,3
577,3
9295,3
1588,3
8189,3
71,3
1310,2
8359,2
4313,3
4989,3
3877,0
7011,2
8877,2
5144,2
4459,1
4195,1
3983,1
9863,2
8558,3
4570,1
7940,2
1728,3
6132,3
3562,3
5651,0
4904,2
4746,2
3212,3
2913,3
8113,2
1196,0
2407,3
9666,3
9111,3
1794,3
1737,0
4461,2
9060,2
3964,1
2865,3
4210,2
4013,3
3482,3
4732,3
4305,1
3745,0
8984,2
6443,3
4220,3
1460,3
2941,3
7175,1
6111,3
9991,3
566,3
479,3
5604,1
4717,1
4972,1
5312,3
925,3
371,2
4162,1
5107,1
2769,3
1599,2
2167,0
8636,2
7712,3
7633,3
2317,1
1401,3
5546,1
1627,1
7506,2
7649,2
2939,1
7400,2
5991,3
4265,0
215,3
5934,0
5026,2
1865,1
7293,3
624,3
9872,3
2202,1
4925,1
9714,3
4846,3
2112,1
7347,0
3975,2
3036,2
8111,1
6943,1
5340,1
7360,1
4283,3
9119,2
9537,2
9142,2
4720,2
8467,3
5582,3
7708,3
1353,3
7992,1
8901,0
7648,3
5100,2
1837,3
836,3
9105,3
7365,2
205,3
3799,3
4829,3
6375,1
5659,1
6026,1
6324,0
1323,1
750,3
8065,1
2490,3
4891,3
7470,3
283,2
2740,3
2403,3
3744,3
8247,2
2979,3
7718,3
2391,3
7165,3
5894,2
7223,3
1528,3
4542,1
114,3
8878,3
8549,3
2569,1
8781,3
147,3
8887,3
4339,2
9997,3
7311,3
3052,1
7099,2
1624,2
3957,1
4075,2
5972,1
3780,2
762,2
7405,3
3441,3
7865,3
1394,3
6711,3
9408,2
132,3
2230,2
8723,2
4517,1
7282,3
9426,1
4511,2
7332,3
4405,2
2224,2
1290,3
1305,3
912,1
231,3
3629,2
411,3
8318,0
3969,3
1608,3
2732,3
4754,3
4713,2
2652,0
3505,3
2692,3
7450,3
3011,3
867,3
4966,3
8312,3
1099,3
7794,3
2032,3
7031,3
1412,1
5177,2
4016,3
8497,3
2472,3
2261,2
4332,1
8667,3
8503,1
8528,1
4580,3
1096,1
5580,3
183,3
1045,3
3061,3
1251,3
468,0
8500,1
4767,3
7628,3
6892,3
572,3
2912,1
9825,3
6597,2
427,1
1464,2
3003,3
8988,1
1110,1
9239,2
6367,3
9485,2
3689,1
8916,3
4190,1
7290,2
7987,3
3320,3
5663,3
1082,1
4282,1
6315,1
3433,2
6807,1
3493,3
4021,3
5758,3
8757,3
1486,2
1234,3
9277,3
1149,2
1288,2
3215,2
5301,2
2423,2
8695,2
3282,1
4587,1
4214,1
628,3
3117,2
2244,2
9639,2
2095,2
7892,2
1462,2
3504,1
236,0
3290,3
846,2
5906,3
7150,1
7269,2
2746,3
8170,3
6895,3
9675,3
2346,2
2931,3
2042,1
6755,1
9167,2
1301,3
6988,3
4245,1
319,3
4280,1
7831,3
2916,3
1335,1
9261,2
695,2
8914,3
4900,3
3670,3
9055,3
4624,0
3815,2
7514,2
3787,1
6935,3
6149,3
1199,2
5613,3
2786,1
1557,1
2964,1
2125,1
575,3
2390,2
2809,3
5549,3
6030,3
4423,3
3955,0
1272,2
7965,3
1688,3
1437,3
1328,2
2600,3
59,3
5832,3
4249,3
2245,3
3769,1
6478,3
3519,3
9390,1
5334,3
9371,3
6018,3
8349,2
173,1
4196,3
1081,1
5599,3
4729,1
3693,1
8340,3
8775,3
8742,3
9182,2
4267,3
6138,1
4974,0
6653,3
3109,0
5174,3
2778,3
7683,2
9644,1
4179,3
3074,1
8044,2
5013,2
2063,2
5712,3
2709,3
2988,1
3533,2
880,3
8256,3
5043,3
178,3
6606,3
3503,3
5698,1
1567,2
7922,2
6075,1
257,1
830,3
2678,3
8674,1
4871,3
7326,3
9804,2
2508,2
5290,2
6768,3
592,2
3717,3
9521,3
5380,2
9546,3
4751,0
7302,3
2934,3
9367,3
1406,3
8427,3
4574,2
4935,0
7270,3
4613,3
4425,3
8002,2
1729,0
6064,3
2364,3
4675,3
9950,3
3518,1
3791,2
5854,2
6357,0
2087,2
1853,2
8212,3
8311,3
4009,3
2331,3
6529,3
184,2
5528,3
5874,3
8575,2
5577,2
9618,2
710,3
2084,3
3678,3
1664,3
4240,1
1516,2
1830,3
420,1
9948,2
4700,2
9132,1
7645,3
8581,2
2476,3
5494,1
3584,1
6705,3
30,3
1603,2
2313,0
2645,3
6825,1
330,2
7711,2
7636,0
4634,3
7634,0
1537,3
7112,2
8395,1
4020,2
2592,0
7152,1
962,2
8299,3
3180,3
9992,2
9145,3
947,1
1114,3
5182,3
9980,2
7283,1
112,2
6668,1
9484,3
6580,3
8531,3
5706,2
7814,3
2907,2
8545,1
2536,2
9490,2
9598,1
8669,3
2297,2
8548,2
9815,2
7545,3
1762,1
138,3
2820,2
9706,3
3023,3
704,1
8484,3
8094,2
6028,2
4636,3
8297,3
2314,2
1346,3
8148,1
6244,2
7654,3
9267,0
3219,2
3844,2
7603,3
2932,3
4052,1
5007,3
2958,2
6327,1
9272,1
8624,1
6968,1
7897,2
3248,3
8418,2
673,1
1226,3
5917,3
2749,3
7601,3
8763,3
3126,0
8597,3
2184,2
353,1
4206,3
9707,3
4290,3
3175,1
1206,3
7521,3
9748,1
459,3
3456,3
551,2
6508,3
6703,3
2223,2
2462,3
2291,2
201,2
8166,3
685,3
5282,3
3088,3
5848,3
1877,2
7861,1
5245,0
6881,1
7809,2
4825,3
4006,3
6923,3
2758,3
2920,3
8712,3
1570,3
9317,2
6204,3
1530,1
8270,2
4975,1
4072,2
507,0
8592,3
9174,2
7039,3
8172,2
4770,1
4924,1
2942,2
9698,2
8433,2
7219,3
7763,3
6858,3
9233,2
4445,3
1171,2
2855,2
1134,3
6014,3
429,3
5422,3
1850,2
2498,0
3453,3
9765,3
1215,0
7498,1
3909,3
3077,3
9788,2
3915,3
4047,3
9382,3
2237,1
7614,1
3925,2
1015,2
3649,1
4739,3
4757,3
5734,3
7022,3
4766,3
4057,3
7173,2
8821,2
8410,3
3511,1
7010,2
3685,2
7853,2
470,3
7567,3
9173,3
9569,3
5735,1
9504,3
4983,3
3318,3
3759,3
539,3
3803,2
8650,3
5849,3
844,1
920,3
2099,2
4141,3
9840,2
2026,3
2816,3
9409,2
698,3
4622,1
9477,2
9699,2
9136,0
2584,3
9435,3
2894,1
6503,1
1901,3
1686,3
2951,3
4537,3
1324,2
162,2
2254,0
7693,3
1549,3
5449,3
8746,3
9509,3
1918,3
6214,2
9162,3
8118,3
2440,3
8450,3
3642,3
8875,1
8423,0
3188,2
4960,3
5249,3
7436,3
3454,3
7158,3
9082,1
3377,2
8809,2
6800,1
4149,3
8316,2
2559,0
6201,2
7958,3
7791,3
7144,2
9749,0
2389,0
9858,3
2703,3
4476,3
4773,3
4889,2
4398,3
6933,3
6168,3
4673,3
6416,2
1900,3
4855,3
9369,2
2272,3
2844,3
2773,0
6505,3
2664,3
9100,1
116,3
564,1
2567,1
6963,1
3241,1
3136,3
2779,3
8457,3
5994,2
1859,2
2553,1
8013,0
635,3
5548,3
8644,3
5349,3
7156,1
1826,2
4315,3
6163,2
3435,3
9028,2
4230,2
4293,2
1721,3
8483,3
8771,2
7319,3
5825,2
9724,3
1835,3
583,2
8181,2
4650,0
9346,3
3021,2
4292,0
3590,3
6304,2
4197,3
7265,1
2250,3
3111,3
8159,3
2397,3
9078,3
8338,3
5629,3
5901,3
1776,2
9919,2
5805,3
4273,3
7757,3
2801,1
5935,3
9201,3
4248,2
2485,3
5223,3
6965,2
6034,2
7551,3
6084,1
3033,2
2513,3
1690,3
2325,0
759,1
4436,1
4237,3
916,2
5575,2
5982,3
5966,3
3581,1
5826,1
5690,2
5102,1
4479,3
6819,1
8704,2
93,3
8570,2
5964,1
3013,1
1044,3
1807,0
8811,0
8326,3
1294,2
780,3
4657,3
6931,2
5255,0
7698,1
6087,1
4980,1
1894,2
1696,3
8373,3
9282,3
5028,3
8477,2
8209,3
2443,2
7904,1
2160,3
9956,2
8176,3
1109,3
5098,3
2977,3
3115,1
5225,3
8798,3
1438,3
4991,2
737,3
6608,3
1069,3
2158,3
7847,0
9053,0
6820,3
6862,3
1105,3
6806,3
563,3
8007,0
3082,1
8200,3
5601,3
2350,1
243,2
5802,1
6784,2
1869,0
7471,3
8276,3
8871,2
339,2
5040,3
3217,1
2118,2
7662,1
5400,3
1710,3
1098,2
