,Q,A
1874,2,1
6995,2,0
1402,2,1
380,2,0
4392,2,0
7872,1,0
9659,2,1
5141,1,1
3141,2,1
5222,3,0
8590,1,1
111,3,0
5221,2,1
7748,1,1
8078,1,1
544,1,0
4851,3,1
6944,1,1
1761,1,0
305,1,1
9781,3,1
2534,2,0
2183,2,1
8473,1,1
5057,2,1
8689,2,1
1220,1,1
7287,1,0
1181,2,1
1090,1,0
5258,2,0
8194,3,1
6611,1,0
9188,3,1
9937,1,0
2201,2,0
9228,2,0
8782,1,0
9488,1,0
1034,2,0
208,1,0
7123,3,0
9719,2,0
9514,2,0
7014,2,0
6698,0,1
2896,2,0
35,3,1
7222,1,1
7519,2,1
2563,1,0
4949,0,0
2103,3,1
4750,2,1
2673,2,1
4660,2,0
547,1,0
7582,2,1
8238,1,0
6953,2,0
3279,2,0
5943,1,0
7065,2,0
9836,2,1
6166,1,1
3726,3,1
297,1,1
4693,1,0
1453,2,0
369,1,0
3459,1,1
5224,3,1
1933,1,1
9249,2,0
5056,1,0
8785,0,0
1577,1,1
7886,1,0
131,2,1
5397,1,0
452,1,1
1408,2,0
7759,2,0
8441,1,1
4778,2,0
7200,2,1
9612,0,1
6986,2,1
4338,2,0
9700,2,0
8056,2,1
514,0,0
2249,3,0
280,3,1
233,0,0
5096,1,0
5753,1,1
9873,2,0
6336,2,0
5893,0,0
4830,2,0
5683,0,1
1380,3,1
2601,1,1
4796,2,0
6378,1,0
3861,3,1
9674,2,0
2989,2,0
1605,0,0
3558,2,1
8662,1,0
2061,2,1
8332,2,1
7688,1,0
5383,3,0
3683,2,1
2858,2,0
6260,1,1
3371,2,0
2233,0,1
6050,1,1
1232,1,0
1370,2,1
1583,0,0
4058,2,0
9955,1,0
6616,2,1
9538,1,1
525,2,1
4173,1,1
4956,1,1
5139,2,1
209,1,0
4718,1,0
1667,2,1
9067,3,1
3039,2,0
7307,1,1
3890,1,0
2136,2,0
4325,1,1
9772,2,0
9669,2,0
6217,0,1
819,2,1
5256,3,0
5264,2,1
5197,1,0
4369,1,1
328,2,0
3818,1,1
1092,2,0
3394,1,0
9471,0,0
4001,2,1
9636,2,1
86,2,0
2428,2,1
9389,2,0
5069,2,0
8523,1,0
2080,1,1
9164,1,0
982,1,0
2104,1,0
8876,3,0
1040,3,1
9340,1,0
9006,1,0
9762,2,1
1815,2,1
6683,1,0
8292,2,0
6145,0,0
6427,1,0
6894,3,1
3751,2,1
2093,2,1
3952,2,1
9298,3,1
4590,3,1
4702,2,0
6946,2,0
4271,2,1
3406,1,1
2283,2,0
5115,0,1
7792,0,1
1231,2,0
5859,3,1
5777,2,1
7641,1,1
2361,2,1
7159,1,1
2840,1,0
3963,2,0
156,2,0
8997,1,0
649,2,0
5305,1,1
8147,0,0
6047,1,1
974,2,0
3591,1,1
513,1,0
389,3,1
1306,2,0
5121,2,0
425,2,1
7738,1,0
14,2,1
6418,2,0
5024,2,1
1273,1,0
5379,3,0
1585,1,1
2807,3,1
7993,1,0
7423,0,0
2092,1,0
7973,2,0
7179,2,0
2338,2,1
5741,0,0
8137,0,1
8480,1,0
1861,0,1
2333,2,0
2129,1,0
2152,1,1
7384,1,1
6537,1,1
4786,1,1
9875,0,0
6430,1,0
8527,2,0
4727,2,1
310,2,0
0,3,1
155,2,1
8629,2,0
2134,2,0
6275,0,0
4467,1,0
7968,1,0
2655,2,0
634,1,0
4715,0,0
7077,1,0
8471,1,0
1459,2,1
5606,2,1
8738,1,1
7488,1,0
8050,1,0
9856,1,1
2116,0,1
3936,1,0
6921,1,0
833,1,1
7041,2,0
3001,1,0
404,1,0
1311,1,1
7155,2,0
9662,1,0
9657,2,0
2177,1,1
3140,1,0
8759,3,0
3102,2,0
9673,2,0
9120,3,0
163,1,1
1368,2,1
900,1,1
9932,0,0
3450,2,0
7309,3,0
991,2,0
3268,1,0
3299,2,0
1921,2,0
667,1,0
7244,1,1
4111,1,0
322,1,1
5176,2,0
2862,2,0
7866,0,0
7743,1,0
691,1,1
6607,3,0
4771,2,0
4034,2,0
8469,2,1
5879,2,1
4644,0,1
5092,1,1
5997,3,0
3668,1,0
6864,1,0
7027,3,1
9915,3,1
9223,2,1
4940,1,0
8376,1,1
8537,0,0
1298,3,1
7427,2,0
6289,2,0
5417,2,1
3025,1,1
5208,1,1
3906,0,1
8015,1,0
9043,2,0
9960,3,0
4880,2,0
2737,1,0
202,3,1
2235,1,1
6193,1,1
8639,1,0
6993,1,1
4239,2,0
4968,2,0
3083,3,0
4250,3,1
3132,1,1
8752,1,0
3059,2,1
7019,2,1
9507,2,1
689,0,1
3461,3,0
4784,0,1
6903,2,1
7770,1,1
7609,2,1
4831,2,1
6506,3,1
4452,1,0
2631,1,0
9126,2,0
9125,1,0
6313,0,0
1036,3,0
7343,0,0
8230,1,0
3447,3,0
7348,1,1
1165,3,1
2111,2,0
9,1,1
6078,2,0
1191,2,0
3361,3,1
3173,0,0
9869,1,1
1792,3,1
9493,1,0
7849,2,1
2509,1,0
1938,0,1
7059,3,0
7939,1,1
1491,3,0
1644,0,0
7087,3,1
7399,1,1
4304,2,0
2215,2,0
6068,2,1
5365,2,0
3713,2,0
8482,2,1
8495,2,1
3660,1,0
7851,0,0
9947,2,1
3604,1,0
7942,1,1
7783,1,0
6699,2,0
3986,0,0
9859,2,0
7995,1,1
8429,3,0
3487,1,0
2433,1,1
9380,1,1
5573,2,0
1079,1,0
2222,2,1
4899,0,0
3814,2,1
2128,2,1
5405,1,1
8492,2,1
2324,1,1
7464,1,1
4254,0,0
7557,1,1
8806,2,1
8657,2,0
5691,1,1
4128,2,0
6746,1,0
9410,0,0
1922,2,1
1552,3,1
4213,1,0
6783,1,0
2329,1,1
1961,2,0
3606,2,0
7575,0,1
699,2,1
3672,3,0
4362,0,0
6514,1,0
313,3,0
6442,3,1
4823,0,0
884,1,1
4870,2,0
9776,2,0
6121,1,0
2781,2,1
5569,2,1
5708,3,1
1396,2,1
212,3,1
6110,1,0
5688,1,0
5553,3,0
3888,1,1
4626,2,0
6857,0,0
7338,2,0
3887,2,1
1891,1,0
6642,0,1
586,2,1
7049,2,1
6735,3,1
3639,2,1
2766,2,0
7120,1,0
3489,1,0
727,1,1
7233,1,1
7561,2,1
2728,1,1
1270,2,0
1625,0,0
8005,2,0
2275,3,1
9463,1,0
1391,2,1
4224,1,0
5765,0,1
4460,0,1
3031,1,0
5414,2,0
7315,1,0
3273,1,1
538,1,1
6754,1,0
5361,3,0
5250,1,1
6948,1,1
9924,2,0
703,2,1
1427,2,0
8082,1,1
4243,1,0
2610,2,0
4601,0,0
5506,1,1
430,2,0
946,1,1
81,3,1
6558,2,1
3976,3,0
9016,1,1
7404,2,0
8640,1,0
8853,1,1
1337,2,1
2948,2,0
6721,1,0
6761,2,1
6067,2,1
3608,2,0
7704,2,0
3067,2,1
422,1,1
9832,1,1
3068,2,1
7068,2,1
9935,3,1
2802,0,1
562,1,0
4762,1,0
642,1,0
9458,2,0
4483,2,0
9005,3,0
3182,2,1
7558,2,0
5850,0,1
3026,2,0
4438,1,1
4219,1,0
9976,3,1
2864,1,0
3346,2,1
896,1,0
2425,3,0
1892,1,0
3647,1,1
1668,2,1
7781,1,1
937,2,1
9359,1,0
9964,1,0
7610,2,1
9811,3,1
8188,1,0
8290,1,0
4324,2,1
8036,2,0
3981,1,1
9987,0,1
7726,1,0
9123,1,0
5763,2,1
1322,0,1
3786,1,0
620,2,1
9820,2,1
6176,2,0
5001,1,1
9311,3,1
7135,1,0
4616,3,1
143,2,1
7341,1,0
3425,1,1
82,0,1
9081,2,1
80,1,0
823,2,1
9607,1,0
4504,3,1
6790,3,1
3342,2,1
4024,0,1
5654,3,1
8060,2,1
7131,1,0
6838,0,0
5199,1,0
4184,0,0
6219,1,1
4334,1,1
3198,1,1
2468,1,0
3226,1,1
8935,1,1
5563,2,0
7298,3,1
1160,0,1
6522,1,1
9687,1,1
8795,3,1
9358,2,0
8229,0,1
2701,2,1
8104,2,0
1192,3,0
1698,1,1
6312,2,0
207,1,1
1838,0,0
2571,3,0
932,2,1
829,2,1
7957,3,0
3977,1,0
8076,1,1
6255,1,0
46,2,1
2259,1,1
7717,1,1
5207,3,1
5128,0,0
7380,2,1
57,3,1
7864,2,1
6523,2,1
9134,1,0
3988,0,0
735,2,0
1674,0,1
7001,1,0
2689,2,0
1982,0,1
7214,3,1
2831,0,0
6757,1,0
450,0,0
6239,2,0
7104,1,1
6213,0,1
7844,2,1
8288,1,1
3270,0,0
1188,3,0
6764,2,0
7116,1,0
3431,2,1
1542,3,1
6146,2,0
5526,2,1
5890,2,1
9341,0,0
4118,2,0
2054,2,1
181,2,1
5937,2,0
5318,1,1
1888,1,0
4967,2,0
2792,2,0
4979,1,0
5967,2,0
8275,1,1
2898,2,1
9542,1,1
2370,2,1
8093,3,1
8885,2,1
1035,1,1
227,2,0
1180,2,1
1773,3,0
6019,2,1
174,1,1
7038,1,0
8883,2,1
6870,3,0
8435,1,0
6578,1,1
4491,1,1
9029,1,1
5811,1,0
6646,0,0
821,0,0
9741,2,1
2545,1,0
1890,1,1
3009,3,1
5605,2,1
6124,0,0
4865,3,1
7267,2,1
4426,1,1
4366,2,1
204,2,0
6515,0,0
2665,3,0
1145,2,0
1862,2,0
9505,2,0
6745,2,1
2107,2,0
2499,2,0
2170,1,0
1896,2,1
8394,0,1
6658,3,0
6841,2,1
405,3,1
3617,3,1
1093,1,1
4071,0,0
3949,1,0
4054,2,0
3316,2,1
7583,0,0
1158,1,0
921,1,1
8702,1,1
8392,2,1
8336,2,1
8837,1,0
487,3,1
4007,1,0
350,0,0
475,1,1
7261,2,1
2804,2,0
2929,2,1
6134,0,0
871,1,0
3895,2,1
3723,2,1
945,3,0
7339,2,0
5916,3,1
7626,3,1
6396,1,0
7304,1,0
9496,0,1
8456,2,1
5537,1,1
8476,3,1
1261,2,0
3633,2,1
9605,2,1
4422,1,0
4631,3,0
4777,1,1
520,1,0
9561,0,1
3954,0,1
5587,1,1
5660,1,0
1403,2,0
2596,2,1
4457,1,0
1734,2,1
4782,2,1
1219,1,1
1332,1,0
383,1,0
5054,1,0
5866,1,0
8530,2,0
9384,1,0
5662,1,0
7661,0,0
2502,2,0
9250,3,0
222,1,1
7513,1,0
5780,1,1
8025,1,1
403,2,0
2843,2,1
6266,1,0
3631,1,1
6485,3,1
2780,1,1
2019,1,1
6198,0,1
7417,2,1
5192,2,0
6288,1,1
8959,2,1
9730,1,0
3825,0,1
746,1,1
2487,1,0
8664,1,1
23,1,1
5437,1,1
8362,2,0
2358,1,1
5511,0,1
5297,2,0
5862,1,0
1030,2,1
1393,3,0
3601,3,0
6303,3,0
3189,2,1
1554,2,1
2467,1,0
2937,1,0
3868,3,1
9453,1,1
7342,0,1
7335,0,1
5129,2,0
1209,2,1
3940,1,0
8555,2,1
6598,3,1
9437,1,0
9702,3,0
9740,1,1
9746,3,1
2902,0,1
8092,2,1
5781,2,0
8335,2,1
1777,2,0
8546,2,0
3810,2,1
9113,2,1
9534,3,1
9601,0,1
9883,0,0
3254,0,1
8896,2,1
9547,0,1
1643,1,1
786,2,0
1673,1,1
1751,2,1
874,2,0
5465,1,0
3177,1,0
2848,1,0
1764,2,0
6874,2,0
7025,2,1
7923,2,1
7721,1,0
9596,0,1
8998,2,0
8164,3,0
1458,1,1
316,0,1
9701,2,1
5515,3,1
9968,2,0
9797,1,1
6534,2,0
4352,1,1
6412,1,1
1351,2,1
1308,1,0
5181,2,0
4185,1,1
5443,0,0
1177,2,1
7528,3,0
9747,3,0
8384,2,0
6663,1,1
9475,1,1
5147,3,1
3471,2,1
5812,3,0
5655,2,1
1538,1,0
5110,1,1
2253,1,1
6527,1,1
2149,1,0
7484,1,1
2882,1,0
58,1,0
4395,1,1
4948,2,0
1316,1,1
545,2,1
7820,1,0
7914,2,0
6852,2,1
4604,2,0
8327,3,1
8405,1,1
770,1,0
9313,1,0
4532,2,0
2911,2,0
9516,2,0
2181,3,0
6195,2,0
9479,2,1
5686,3,1
5970,2,1
7930,2,1
292,2,0
7706,1,1
7907,2,1
7909,2,0
6437,1,0
7088,2,0
9259,2,1
232,3,0
7541,0,1
5009,3,1
5798,0,1
1448,0,0
4540,0,1
7084,1,1
7461,2,1
4815,1,1
2454,2,0
9694,2,1
3808,2,0
4836,2,1
9887,3,1
987,0,1
1420,2,1
1001,1,0
1372,2,1
9415,0,1
3337,3,1
9949,3,1
4683,1,0
8987,2,0
1042,2,1
4308,2,1
3439,3,1
5035,1,1
3069,1,1
3160,3,1
5409,2,1
7286,2,0
3325,2,0
5670,3,0
7390,2,1
3101,2,1
8881,3,0
6893,3,1
792,1,1
8250,1,0
7779,3,1
9362,2,1
6615,3,1
6364,2,0
8731,1,0
8402,1,0
955,1,1
3728,2,1
6302,1,0
992,2,1
3211,1,1
304,1,0
2003,2,0
4096,1,1
6017,0,0
6074,1,1
2144,3,1
7108,1,0
6792,2,1
9159,3,0
9252,2,0
362,3,0
2543,2,0
8701,1,1
354,1,0
5774,1,1
8671,1,0
1061,1,0
5752,2,1
3350,3,1
7013,2,1
5434,1,0
260,1,0
1547,2,0
9057,2,1
3345,2,0
3194,3,0
3555,1,1
4144,1,1
1856,1,0
9368,1,0
8449,1,1
6345,2,0
4993,0,1
6076,2,0
1361,2,0
3476,2,0
3098,1,0
8560,1,0
5701,3,1
7938,2,1
7340,1,1
6343,3,1
6998,1,1
7902,1,0
9308,2,0
7040,1,1
2365,2,1
2203,0,0
1326,2,1
5257,2,0
9089,1,0
3732,0,0
4068,3,0
7355,1,1
7184,1,1
4204,0,1
3233,1,0
8367,2,1
6987,2,1
9515,1,1
2760,1,0
7981,2,1
8703,0,0
9517,1,1
936,3,0
6262,2,0
8151,1,1
6431,2,0
5584,2,0
5904,1,0
2110,1,1
7554,2,0
7932,2,0
3466,2,1
5442,3,1
798,1,1
8055,1,1
5595,2,1
2507,1,0
5618,1,0
2023,1,1
7933,2,1
2523,3,1
7334,0,0
3064,0,1
5899,1,1
2289,2,1
671,2,0
1720,1,1
290,1,0
2086,2,0
3956,2,1
8932,1,0
616,0,0
4039,1,0
3192,2,0
2479,1,1
6371,2,0
7805,1,1
1708,1,0
2897,2,0
1796,1,0
7419,3,0
6059,1,1
3657,3,1
5677,0,0
9402,1,1
7617,2,0
6362,2,1
4903,1,1
9048,2,1
1692,1,0
5077,1,1
9904,1,1
2179,1,1
6560,2,0
9834,1,1
7103,2,1
8464,2,1
9171,2,0
5645,2,1
7280,1,1
5928,1,0
6659,2,1
3007,2,0
6033,0,0
7509,2,0
7357,3,0
3966,3,1
1663,0,1
9536,0,0
6279,3,0
4591,0,1
9660,0,0
1956,0,1
4270,3,0
9149,1,0
8973,3,1
6517,2,1
8426,1,1
6057,2,1
3859,2,0
4465,1,1
2868,3,1
9886,1,1
4951,1,0
1532,1,0
7555,1,1
4728,1,0
3768,3,0
4284,1,1
1513,1,1
5227,3,0
3,1,1
33,0,1
7746,1,0
807,2,0
7331,1,1
2321,1,1
7577,3,0
3444,1,1
4092,1,1
3070,0,1
868,1,0
3249,2,1
1884,2,1
5345,1,1
9931,3,1
3122,1,1
1903,3,0
1977,2,1
7316,3,1
1953,2,0
4095,2,0
160,2,0
9190,2,0
6200,2,1
9611,2,1
6062,1,0
4740,2,0
2432,2,1
4521,0,0
1246,1,0
9326,2,0
3771,1,0
6855,2,0
676,1,1
6877,3,1
7393,2,0
2999,1,0
6667,2,0
4496,1,1
7252,0,0
9767,2,1
6191,2,1
8421,2,0
7284,2,0
8445,1,0
4614,1,1
3615,2,1
1221,1,0
4222,1,1
9216,3,0
5816,1,0
4902,2,0
8222,3,0
1456,1,1
400,0,1
5621,3,1
1596,3,1
9545,1,0
1183,1,0
9637,1,1
8413,3,1
3413,1,0
700,1,1
3536,1,1
857,0,0
9853,2,0
5011,2,0
6739,1,1
2800,1,0
6224,0,1
8939,1,1
9071,2,0
2457,1,1
3594,2,0
6247,2,1
3636,0,1
5203,2,1
6171,2,0
9600,0,0
4908,1,0
6929,1,1
6510,3,1
3775,3,0
6543,2,0
7921,2,0
4409,3,0
1482,3,0
2619,3,1
8647,1,1
3870,2,0
4874,1,1
4547,2,0
9370,1,0
2638,2,1
1136,1,1
7966,1,0
5324,1,1
9862,1,0
1908,3,1
8219,3,1
9141,1,0
192,2,0
2611,3,1
5797,2,1
3620,2,1
2273,0,1
7386,2,0
5453,2,1
2604,0,0
9397,3,0
8510,2,1
9109,2,1
6661,3,1
7353,2,1
3360,3,0
8240,2,0
5847,1,1
1969,1,0
1975,2,1
252,2,1
2751,2,0
8265,2,1
2651,1,1
153,3,0
8606,3,0
4958,3,1
8105,0,1
482,1,0
1468,1,0
9941,3,1
2266,2,0
5508,2,0
3850,1,0
4697,0,0
1053,1,1
7915,1,0
5714,3,0
8637,3,0
6682,1,0
3244,2,0
5333,1,0
413,2,1
2068,3,1
9151,1,1
5283,0,0
9916,1,0
6971,0,0
6622,1,0
5373,1,0
1987,1,0
7201,2,1
7983,2,1
5087,2,0
5558,2,0
767,1,0
5285,3,0
4541,1,0
4421,1,0
8121,1,1
8665,2,0
7901,1,1
1561,1,1
3517,1,0
9566,0,1
5051,2,0
5343,3,1
2706,1,1
5358,0,0
3704,2,0
4376,2,1
5692,1,0
8709,1,1
5398,2,1
603,3,1
9826,1,0
6048,2,0
2239,1,0
4433,2,1
2524,1,1
2986,0,0
7388,3,1
9391,2,0
1716,3,1
6568,2,1
1091,2,0
8685,1,1
2460,3,0
7875,2,0
688,1,0
9739,1,1
7109,0,0
814,2,0
3765,2,1
8058,2,1
3382,1,0
5236,1,0
9879,1,1
1746,2,1
2588,1,0
9004,1,1
7709,3,1
9738,1,1
5596,1,0
5483,1,1
6687,0,0
3716,2,0
4798,2,1
898,2,0
3551,0,1
4056,2,0
6541,0,1
1018,1,1
6141,2,0
5022,1,1
3785,1,0
820,1,1
8486,1,1
3329,3,1
4135,2,0
4201,2,0
1379,1,1
1841,2,1
9778,1,0
7308,1,0
894,3,1
2240,1,1
1085,1,1
3557,3,1
9857,2,1
4584,1,1
1222,2,1
8922,2,0
2065,1,0
2404,2,0
664,1,0
548,1,1
9654,1,0
5153,3,1
5363,1,1
6380,0,0
6381,3,0
2326,1,1
9263,1,1
220,0,0
9147,1,1
9633,2,0
4432,2,1
558,1,0
6919,1,0
8822,2,0
5513,1,1
8315,1,1
2605,1,0
3506,2,1
9893,2,1
2053,3,0
7732,1,0
632,3,0
223,0,0
9525,1,0
9112,1,1
8333,1,1
715,1,0
5309,0,0
4952,1,1
1480,1,1
6729,1,1
701,3,1
4566,1,1
440,2,0
263,1,0
2050,1,0
849,1,0
8799,1,0
6335,1,1
8414,2,1
7337,2,1
5481,3,1
9610,3,0
755,2,1
4346,1,0
5565,2,0
4525,3,1
5104,0,1
396,1,0
2477,1,1
7742,2,1
3354,2,1
8609,0,0
6032,2,0
2400,1,0
2207,2,1
1886,1,1
6063,2,1
1507,1,1
9582,2,0
461,2,0
8567,3,0
4061,2,0
3138,3,0
958,2,1
9079,1,1
5136,1,1
8743,1,1
9520,2,1
1723,1,0
3328,3,1
6072,2,1
5914,3,0
935,0,1
3619,0,1
8946,0,0
6666,2,0
6554,2,0
4609,1,0
763,2,0
7045,2,0
8816,1,1
2519,2,0
7187,2,0
103,2,1
6513,1,1
4936,3,1
6801,2,1
2264,0,0
5942,2,1
3357,0,0
9014,3,0
259,1,1
4577,2,0
9595,1,1
4450,2,1
334,2,0
6507,1,0
3947,1,0
6823,2,0
5822,2,0
6595,2,1
6617,2,0
1712,1,0
2501,3,0
7313,2,0
2341,2,1
8999,2,0
9491,2,1
8488,1,0
8879,3,0
6126,2,0
665,1,1
4354,2,0
76,1,1
2834,2,0
9304,2,0
659,3,1
4386,2,0
3483,1,0
3197,2,1
4962,2,0
6160,1,1
1771,3,0
5185,3,1
1495,3,1
5491,1,1
9020,2,0
5711,2,1
8646,2,0
4738,2,0
6579,2,0
374,2,0
2392,1,0
3572,0,0
6907,3,1
4524,2,0
9979,1,0
9640,2,0
670,2,1
4923,2,0
4333,3,1
8077,3,0
6795,1,1
1167,1,0
7162,2,1
7878,1,0
69,2,1
72,2,1
2075,0,1
6639,0,1
3501,2,1
3992,1,1
2011,3,0
9708,2,1
2106,1,1
1985,2,1
2891,2,1
6767,3,0
5356,2,0
9037,2,0
5919,2,0
3798,2,0
2497,1,0
7635,3,1
6178,2,0
3718,1,1
4534,0,1
6723,2,1
6713,1,1
4102,2,1
7592,1,0
4802,0,0
4680,2,0
5694,2,1
4176,2,0
4977,3,0
518,0,0
4942,2,1
2451,3,1
7424,2,0
4508,2,0
7002,0,1
2921,1,0
4241,2,1
4957,2,0
1843,1,1
8400,1,1
1905,1,0
5680,3,1
3823,1,0
541,2,0
3735,2,1
6333,1,0
3491,3,1
9580,2,1
6029,3,1
6158,1,1
3436,1,1
3336,1,1
4794,2,1
1845,2,0
8502,2,0
2161,3,1
8718,1,0
3754,3,1
3409,1,0
5566,2,0
2720,1,0
9110,2,1
2012,3,0
8579,2,1
9839,1,1
1,0,0
3238,2,0
7429,1,0
451,0,0
7622,1,1
6566,1,1
6539,1,1
9754,1,0
8690,1,1
1317,2,1
8008,1,0
6175,1,1
650,2,1
1299,2,1
4180,2,1
408,1,1
1916,1,0
4845,3,0
5796,2,0
2823,1,1
4306,2,0
1816,0,1
8001,3,0
3569,2,1
8234,2,1
8440,3,1
5729,3,0
2675,3,0
3872,1,0
636,2,1
6634,0,0
7260,3,0
6102,2,0
3245,0,0
9920,2,0
7668,2,0
4505,2,1
4510,0,1
9427,0,0
2660,1,1
5562,0,1
7012,3,0
832,2,0
5896,0,1
2191,1,0
4760,1,0
7407,1,1
2819,1,1
7396,2,1
5594,1,0
5339,3,1
168,1,0
1502,1,0
6182,1,1
5112,3,1
2973,2,0
7410,0,1
230,3,0
289,3,0
6423,3,1
2079,2,0
3392,1,1
3795,2,0
1166,2,0
104,2,0
6501,1,0
402,3,1
9650,2,1
9046,3,1
1280,1,0
612,1,0
656,2,0
4497,3,1
4999,2,0
3086,1,0
2274,1,0
1531,2,1
7119,3,1
5996,0,1
3543,0,0
6071,1,0
1024,3,1
890,1,0
3876,0,0
303,1,0
4012,2,0
4411,2,1
1057,1,0
2150,1,0
9064,2,0
8409,2,1
8358,2,1
9314,1,0
5900,1,0
3250,1,0
6003,2,1
7370,2,1
37,1,1
2285,1,1
7136,3,0
7620,1,0
2090,2,0
7385,2,1
6748,1,0
7586,2,0
9019,1,1
828,1,1
9686,2,1
1619,2,1
2413,1,0
2409,3,1
6934,1,0
9512,2,1
4359,1,1
4010,1,0
128,2,0
2503,2,0
1702,2,1
7372,1,0
9664,3,0
9529,3,0
434,1,0
6073,1,1
2252,1,1
4000,1,1
2306,2,1
9623,2,1
3781,2,1
9045,1,0
266,2,1
1011,1,0
2352,1,1
588,1,0
7613,2,1
4050,0,0
7172,1,1
2416,2,1
1156,3,1
4454,2,1
2782,2,1
5668,3,1
3918,2,1
4596,1,0
6486,1,0
969,3,1
2292,2,0
5940,2,0
6742,2,0
1211,1,1
744,2,0
7440,0,1
4351,1,1
5871,3,1
2712,1,0
4430,2,0
4698,0,1
286,1,0
654,0,1
4143,2,1
3523,1,1
3708,1,1
1825,2,1
6012,1,1
7174,2,0
1681,1,0
7320,1,0
83,2,0
7944,0,0
8736,0,1
2825,3,0
2386,0,0
2148,1,1
9347,2,0
3144,1,0
3302,2,0
5570,3,1
5924,1,1
7570,1,0
91,2,1
7154,1,0
2654,1,1
1715,1,0
8594,1,1
9040,1,1
5766,0,0
3094,2,0
9303,1,0
3171,0,1
3378,0,1
8992,2,1
9579,2,1
2879,1,0
505,1,0
101,2,1
2889,1,0
5867,1,0
4575,0,1
1227,1,1
7947,2,0
6777,0,0
214,0,0
1392,1,1
5503,2,1
4602,1,1
7375,0,1
8232,2,0
3962,1,0
1263,3,0
3335,2,0
7722,1,1
9467,2,0
6040,2,1
124,2,0
9539,2,0
9050,0,0
8028,2,1
565,3,1
1129,2,1
8613,1,1
78,2,1
9175,1,0
4691,1,1
4774,1,0
8350,2,0
8692,0,1
8023,2,1
4982,3,1
7772,0,1
2517,2,1
8224,0,0
3609,1,0
4363,1,0
4389,1,1
7838,1,0
3923,3,0
1389,1,1
1519,2,0
7824,1,0
5815,2,0
4552,2,0
1235,1,1
6049,2,1
9350,1,0
3465,3,1
1994,0,1
4998,2,1
3588,1,1
8773,2,1
8769,1,0
4329,2,1
7374,0,0
8277,3,0
5636,1,1
3167,1,0
5744,2,1
314,2,1
6253,0,0
7832,2,1
22,1,1
8437,2,0
4507,0,1
8108,2,1
3240,2,1
4127,3,1
4793,3,1
2243,2,0
9274,2,1
2771,3,1
3573,0,1
5335,3,1
8770,1,1
10,0,1
5161,2,1
8387,1,0
5868,1,0
3893,1,1
4795,1,1
5268,1,0
1545,2,0
8854,1,1
4941,1,1
2308,2,0
3527,1,1
8867,2,0
5761,2,0
6446,2,0
8760,0,0
602,1,1
5984,2,1
9069,1,0
3468,2,0
8083,2,0
5772,3,0
8360,2,0
8245,3,1
8416,1,1
3176,2,0
2707,1,1
3919,3,0
4472,2,1
7650,2,1
3331,3,1
5552,2,0
5949,2,1
7723,1,1
5773,2,1
1385,1,1
436,1,0
988,2,0
8034,0,0
4406,2,1
6208,3,0
9594,2,1
47,2,0
6737,1,1
7736,1,1
4610,1,0
8239,2,1
5088,1,1
8506,2,1
6058,2,0
6916,2,0
1648,1,0
7534,2,1
224,3,0
3294,2,1
757,0,1
3037,2,1
2690,1,0
219,1,0
5864,3,1
1743,0,1
7874,3,0
1919,3,0
9682,0,0
7262,0,0
6891,1,1
4212,2,1
5418,3,1
8182,2,1
1444,2,1
6865,1,0
3072,1,1
9072,1,0
3623,1,1
2573,2,1
4763,2,1
7903,3,0
1452,2,0
1543,1,0
6791,1,1
8525,2,1
822,1,1
3169,1,0
210,1,0
6712,1,0
7051,2,0
4837,1,0
73,1,0
8762,2,1
8894,1,1
6844,2,1
5193,0,0
5760,1,0
4103,1,1
2540,1,0
568,0,1
6871,2,1
150,2,0
7171,2,0
1440,3,1
5635,2,0
3475,2,1
3576,0,0
5219,1,1
3990,1,1
7176,1,1
6577,1,0
9775,0,0
9723,1,0
9923,3,1
6457,2,0
504,1,1
7016,2,0
5684,3,0
516,3,0
977,2,1
2908,2,0
7254,1,1
5097,1,1
9908,0,0
973,1,0
2967,1,0
4887,1,0
3092,2,0
1503,2,1
3820,2,1
4686,2,1
8217,2,0
198,2,1
2293,3,1
6846,2,1
6799,1,0
9903,2,1
993,0,0
7247,1,0
6854,1,0
9329,2,0
5929,0,0
2200,2,1
5396,2,1
1266,1,1
9158,3,0
7447,1,1
8725,2,0
1334,3,0
3537,1,0
7643,2,1
5464,1,0
2995,0,1
8861,1,0
1065,1,0
2180,3,0
7192,3,1
8989,2,0
6245,2,0
4783,3,0
6815,1,0
6010,2,1
3334,2,0
6675,2,0
2384,2,0
8446,1,0
3237,2,0
826,1,0
7787,1,1
1510,1,0
3145,3,1
3050,0,1
2946,2,1
9054,2,1
9103,3,0
9946,1,0
6082,3,1
6975,1,1
8906,1,1
574,0,1
800,1,1
655,1,0
3865,1,0
2747,2,1
3085,0,0
8487,1,0
8033,2,0
6139,1,0
815,2,1
2229,3,0
8049,3,0
9179,1,0
4166,1,0
5473,2,1
5695,2,1
8577,2,0
6574,3,0
5716,2,1
2362,1,1
17,2,0
7114,1,0
9332,1,0
448,2,0
6035,2,1
7452,2,1
9447,1,1
6326,2,0
6093,1,0
8625,0,0
4759,1,0
3235,2,0
2511,1,1
7707,1,1
5502,1,1
7677,2,0
6996,3,0
7747,3,0
4811,1,0
9392,1,1
7146,1,0
2861,1,1
1281,2,1
7548,1,1
3635,2,1
